tool,size,t_parse
hdt_rs,10000,0.002334965
hdt_rs,10000,0.002695261
hdt_rs,10000,0.004270862
hdt_rs,10000,0.006474346
hdt_rs,20000,0.006302669
hdt_rs,20000,0.007402219
hdt_rs,20000,0.004901593
hdt_rs,20000,0.005246922
hdt_rs,40000,0.006092189
hdt_rs,40000,0.005147962
hdt_rs,40000,0.005387113
hdt_rs,40000,0.005951758
hdt_rs,80000,0.012072876
hdt_rs,80000,0.013313115
hdt_rs,80000,0.012614709
hdt_rs,80000,0.007724206
hdt_rs,100000,0.010210089
hdt_rs,100000,0.014003851
hdt_rs,100000,0.013319111
hdt_rs,100000,0.011595636
hdt_rs,1000000,0.089357727
hdt_rs,1000000,0.089496636
hdt_rs,1000000,0.081151032
hdt_rs,1000000,0.081258703
hdt_rs,10310000,0.941620768
hdt_rs,10310000,0.915438599
hdt_rs,10310000,0.920401031
hdt_rs,10310000,0.924549726
