tool,size,t_parse
sophia,10000,0.016460654
sophia,10000,0.017684869
sophia,10000,0.006339374
sophia,10000,0.006430053
sophia,20000,0.013566383
sophia,20000,0.019528061
sophia,20000,0.016831329
sophia,20000,0.024612766
sophia,40000,0.037001361
sophia,40000,0.027846404
sophia,40000,0.031986495
sophia,40000,0.024522787
sophia,80000,0.048905091
sophia,80000,0.054657044
sophia,80000,0.051977148
sophia,80000,0.054793353
sophia,100000,0.061819564
sophia,100000,0.061636476
sophia,100000,0.071396997
sophia,100000,0.062474752
sophia,1000000,0.597496171
sophia,1000000,0.610889509
sophia,1000000,0.60483858
sophia,1000000,0.598123538
sophia,10310000,6.142709536
sophia,10310000,6.332297151
sophia,10310000,6.333848895
sophia,10310000,6.312775095
