tool,size,t_load,m_graph,t_first,t_rest
hdt_cpp,10000,0.004049,576,0.000031,0.000800
hdt_cpp,10000,0.007920,576,0.000052,0.002520
hdt_cpp,10000,0.009707,576,0.000066,0.002438
hdt_cpp,10000,0.001993,576,0.000010,0.000400
hdt_cpp,20000,0.014536,768,0.000025,0.001331
hdt_cpp,20000,0.018821,768,0.000044,0.002028
hdt_cpp,20000,0.015025,768,0.000022,0.001297
hdt_cpp,20000,0.013978,768,0.000025,0.001382
hdt_cpp,40000,0.021774,768,0.000025,0.001607
hdt_cpp,40000,0.014412,960,0.000022,0.001994
hdt_cpp,40000,0.014244,960,0.000018,0.001991
hdt_cpp,40000,0.015363,960,0.000020,0.001961
hdt_cpp,80000,0.014212,1152,0.000019,0.002714
hdt_cpp,80000,0.014822,1152,0.000019,0.002867
hdt_cpp,80000,0.013290,1152,0.000013,0.002786
hdt_cpp,80000,0.013355,1152,0.000016,0.002748
hdt_cpp,100000,0.017333,1536,0.000024,0.003844
hdt_cpp,100000,0.017223,1536,0.000019,0.003888
hdt_cpp,100000,0.028886,1152,0.000020,0.003928
hdt_cpp,100000,0.018691,1344,0.000020,0.003852
hdt_cpp,1000000,0.177446,9948,0.000039,0.037830
hdt_cpp,1000000,0.175963,9928,0.000038,0.037907
hdt_cpp,1000000,0.176672,10120,0.000041,0.037765
hdt_cpp,1000000,0.176936,10120,0.000038,0.037692
hdt_cpp,10310000,1.992316,115004,0.000060,0.351145
hdt_cpp,10310000,2.004206,114628,0.000062,0.353851
hdt_cpp,10310000,1.991908,114916,0.000063,0.350407
hdt_cpp,10310000,1.994060,114780,0.000063,0.354824
