tool,size,t_load,m_graph,t_first,t_rest
hdt_java,10000,0.128436064,38156,0.002904275,0.001556265
hdt_java,10000,0.132706856,37456,0.002879137,0.001463891
hdt_java,10000,0.136245489,38532,0.003006038,0.001558602
hdt_java,10000,0.132395512,35812,0.002901695,0.001449748
hdt_java,20000,0.138547799,41212,0.002995294,0.001949359
hdt_java,20000,0.137879963,38068,0.002957747,0.002018154
hdt_java,20000,0.141486334,41180,0.003030225,0.001977306
hdt_java,20000,0.141313397,38016,0.002918936,0.002122649
hdt_java,40000,0.149801766,46720,0.002867157,0.006406149
hdt_java,40000,0.15222132,45040,0.002936215,0.006169574
hdt_java,40000,0.15033761,46792,0.002972995,0.007357278
hdt_java,40000,0.151202822,47924,0.002983677,0.00686717
hdt_java,80000,0.17540696,56212,0.002977172,0.005436477
hdt_java,80000,0.174064239,51156,0.002900079,0.005365016
hdt_java,80000,0.178602639,51512,0.003040593,0.00546269
hdt_java,80000,0.175508234,54396,0.002969071,0.005405071
hdt_java,100000,0.179561056,55568,0.003032225,0.00640262
hdt_java,100000,0.181381774,56048,0.002919602,0.00642608
hdt_java,100000,0.18268097,58036,0.003031717,0.006401145
hdt_java,100000,0.1847398,56604,0.002933166,0.006426498
hdt_java,1000000,0.493339226,132876,0.003290378,0.030541618
hdt_java,1000000,0.490674874,125072,0.003411107,0.0358716
hdt_java,1000000,0.4983566,133764,0.003524161,0.029901757
hdt_java,1000000,0.492788022,125968,0.003234583,0.033753477
hdt_java,10310000,3.217770731,969344,0.003303298,0.201675941
hdt_java,10310000,3.155425513,685296,0.003288246,0.214170122
hdt_java,10310000,3.153458426,682352,0.003065227,0.213436686
hdt_java,10310000,3.152213669,684984,0.003176371,0.214375936
