tool,size,t_load,m_graph,t_first,t_rest
hdt_rs,10000,0.00195218,1684,0.000007582,0.000467996
hdt_rs,10000,0.003864611,1684,0.000005663,0.000643823
hdt_rs,10000,0.00200537,1684,0.000006381,0.00047059
hdt_rs,10000,0.001970612,1492,0.000006136,0.000491153
hdt_rs,20000,0.0023384,1880,0.000003996,0.000610793
hdt_rs,20000,0.001959647,2072,0.000005211,0.0005976
hdt_rs,20000,0.002833142,1876,0.000004788,0.000692408
hdt_rs,20000,0.003060849,2260,0.000006626,0.001092954
hdt_rs,40000,0.009161693,2976,0.000008042,0.002163426
hdt_rs,40000,0.003961003,2972,0.000004477,0.001205539
hdt_rs,40000,0.003920673,2972,0.000005005,0.001567857
hdt_rs,40000,0.008648252,2784,0.000010061,0.002745744
hdt_rs,80000,0.008487217,5068,0.000005881,0.002437635
hdt_rs,80000,0.009541477,5072,0.000008776,0.003759298
hdt_rs,80000,0.015973913,4732,0.000009211,0.00337711
hdt_rs,80000,0.012672883,4876,0.000006686,0.002392997
hdt_rs,100000,0.012601593,5792,0.000006126,0.003071926
hdt_rs,100000,0.016275428,5916,0.000006148,0.003118187
hdt_rs,100000,0.023533059,5756,0.000007024,0.002994191
hdt_rs,100000,0.009490156,5980,0.000007196,0.002979866
hdt_rs,1000000,0.082949133,31252,0.000007388,0.032182351
hdt_rs,1000000,0.081209314,31504,0.000008434,0.032135139
hdt_rs,1000000,0.080402081,31056,0.000008592,0.032035056
hdt_rs,1000000,0.083383832,31332,0.000007685,0.032128956
hdt_rs,10310000,0.934598013,252592,0.000014371,0.342718656
hdt_rs,10310000,0.927453034,252688,0.000011002,0.336840066
hdt_rs,10310000,0.925789497,251432,0.000012612,0.336655603
hdt_rs,10310000,0.917736265,252500,0.000012012,0.339483962
