tool,size,t_load,m_graph,t_first,t_rest
hdt_rs,10000,0.00164978,1344,0.000005945,0.000358148
hdt_rs,10000,0.001956309,1344,0.000011315,0.000537583
hdt_rs,10000,0.002937641,1152,0.000013736,0.000937678
hdt_rs,10000,0.002461726,1344,0.00001118,0.000593654
hdt_rs,20000,0.003359345,1480,0.000010968,0.001315315
hdt_rs,20000,0.00637601,1752,0.000013466,0.001354912
hdt_rs,20000,0.004668635,1532,0.000009511,0.001134691
hdt_rs,20000,0.004501983,1476,0.000012733,0.001823834
hdt_rs,40000,0.005992829,2744,0.000007509,0.001300411
hdt_rs,40000,0.003698585,2768,0.000007054,0.00121677
hdt_rs,40000,0.00522353,3188,0.000009992,0.002371759
hdt_rs,40000,0.004761247,2552,0.000006489,0.001181384
hdt_rs,80000,0.007553823,4372,0.000007068,0.00241333
hdt_rs,80000,0.006886328,4540,0.000005519,0.002323035
hdt_rs,80000,0.007290322,4860,0.000007105,0.002346464
hdt_rs,80000,0.007185169,4536,0.000005215,0.00229357
hdt_rs,100000,0.008576922,5732,0.000007263,0.002926367
hdt_rs,100000,0.009013494,5548,0.000007447,0.002874984
hdt_rs,100000,0.00871468,5736,0.000008351,0.002954466
hdt_rs,100000,0.008573844,5572,0.00000705,0.002849495
hdt_rs,1000000,0.072623454,31292,0.000008636,0.029284788
hdt_rs,1000000,0.074594549,31340,0.000008833,0.029272295
hdt_rs,1000000,0.07402018,31276,0.000009709,0.029419847
hdt_rs,1000000,0.075868567,31024,0.000009721,0.029442938
hdt_rs,10310000,0.827874911,247420,0.000013696,0.306749783
hdt_rs,10310000,0.833365574,250420,0.00001268,0.309979586
hdt_rs,10310000,0.827174697,250532,0.000014165,0.307212884
hdt_rs,10310000,0.826968362,248048,0.000013742,0.306883505
