tool,size,t_load,m_graph,t_first,t_rest
jena,10000,0.226252329,151540,0.002322086,9.72638E-4
jena,10000,0.22813256,151564,0.002213466,9.95363E-4
jena,10000,0.229321097,148248,0.002231084,0.001152942
jena,10000,0.233999853,186764,0.003894187,0.001742976
jena,20000,0.280642492,183496,0.002547873,0.001719678
jena,20000,0.286532603,216672,0.002539027,0.001684875
jena,20000,0.295849664,212680,0.002447338,0.001749455
jena,20000,0.280844408,189852,0.0024556,0.001676371
jena,40000,0.428664626,289264,0.002278829,0.002660494
jena,40000,0.396417878,260904,0.00232015,0.002098256
jena,40000,0.396774603,289376,0.00240561,0.002142742
jena,40000,0.392042856,256944,0.002639155,0.003009774
jena,80000,0.525709507,356480,0.002211673,0.011421757
jena,80000,0.527528067,351180,0.002217761,0.003807541
jena,80000,0.534860003,375608,0.00227067,0.012186561
jena,80000,0.543554966,348560,0.0023121,0.003828071
jena,100000,0.674063386,533324,0.002249409,0.004676349
jena,100000,0.664055655,517456,0.00262013,0.004329395
jena,100000,0.658608311,465372,0.002764907,0.003774228
jena,100000,0.653737187,525844,0.00227769,0.004318495
jena,1000000,3.610823074,1349996,0.002330241,0.013158247
jena,1000000,3.587022331,1381008,0.002421827,0.014131168
jena,1000000,3.561692928,1443068,0.002252431,0.012895018
jena,1000000,3.49870477,1440084,0.002295958,0.012980085
jena,10310000,34.821372882,6726780,0.003154412,0.131345761
jena,10310000,34.545224229,7449164,0.002775043,0.102537513
jena,10310000,35.215889013,7421068,0.00278443,0.100625886
jena,10310000,34.359157272,7013968,0.002726599,0.100344614
