tool,size,t_load,m_graph,t_first,t_rest
librdf,10000,0.345718,3648,0.000003,0.000401
librdf,10000,0.347537,3840,0.000004,0.000390
librdf,10000,0.346332,3648,0.000003,0.000412
librdf,10000,0.344223,3840,0.000003,0.000397
librdf,20000,1.445492,7488,0.000004,0.000792
librdf,20000,1.478314,7680,0.000004,0.000786
librdf,20000,1.478924,7680,0.000004,0.000794
librdf,20000,1.574601,7296,0.000004,0.000781
librdf,40000,6.670887,14976,0.000004,0.001724
librdf,40000,6.329487,14976,0.000004,0.001596
librdf,40000,6.595741,14592,0.000004,0.001786
librdf,40000,6.384144,15168,0.000004,0.001593
librdf,80000,31.058743,29760,0.000004,0.003862
librdf,80000,30.612776,30144,0.000005,0.003378
librdf,80000,30.386453,29760,0.000005,0.003800
librdf,80000,28.287146,29952,0.000004,0.003322
librdf,100000,62.121865,37440,0.000004,0.004411
librdf,100000,62.112685,37632,0.000004,0.004419
librdf,100000,59.119885,37632,0.000004,0.004387
librdf,100000,54.918329,37440,0.000004,0.004370
