tool,size,t_load,m_graph,t_first,t_rest
sophia,10000,0.012492316,2952,0.00000162,0.000007647
sophia,10000,0.012620593,2452,0.00000183,0.000009261
sophia,10000,0.01252588,2832,0.00000123,0.000006463
sophia,10000,0.013103327,2452,0.000001452,0.000010587
sophia,20000,0.041528991,4484,0.000001528,0.000016337
sophia,20000,0.024566992,4796,0.000001461,0.000018283
sophia,20000,0.024321194,4512,0.000001341,0.000016536
sophia,20000,0.02482164,4804,0.000001347,0.000018445
sophia,40000,0.051796685,8324,0.000001632,0.000032718
sophia,40000,0.050209502,8104,0.000001297,0.000038259
sophia,40000,0.04970398,8308,0.000001505,0.000033658
sophia,40000,0.049649037,8348,0.000001462,0.000037127
sophia,80000,0.111508474,15216,0.000001934,0.000102697
sophia,80000,0.101442427,15288,0.00000198,0.000064766
sophia,80000,0.100490079,15348,0.000001875,0.000065539
sophia,80000,0.100854947,15260,0.000001936,0.000064448
sophia,100000,0.140017981,21172,0.000002082,0.000084738
sophia,100000,0.129226621,21288,0.000001716,0.000082867
sophia,100000,0.129526816,21356,0.000001665,0.000082527
sophia,100000,0.129593987,21172,0.00000181,0.000081054
sophia,1000000,1.370141415,153900,0.000002482,0.001875784
sophia,1000000,1.34294107,153320,0.000002017,0.001873846
sophia,1000000,1.343050005,154316,0.000001979,0.001889563
sophia,1000000,1.344847347,152468,0.000002127,0.001943451
sophia,10310000,17.340555543,1401780,0.000002095,0.02051608
sophia,10310000,17.163552298,1402712,0.000002061,0.020814859
sophia,10310000,16.139651003,1401960,0.000002405,0.023544271
sophia,10310000,16.825127508,1401552,0.000002285,0.021132799
