tool,size,t_load,m_graph,t_first,t_rest
sophia_hdt,10000,0.003247693,2612,0.000009986,0.000647453
sophia_hdt,10000,0.001709826,2720,0.000008303,0.000598913
sophia_hdt,10000,0.001845695,2564,0.000010246,0.000656109
sophia_hdt,10000,0.0014985,2604,0.00000834,0.000630554
sophia_hdt,20000,0.002560711,3240,0.000008841,0.001277323
sophia_hdt,20000,0.002208691,3148,0.000008553,0.001061689
sophia_hdt,20000,0.002787908,3080,0.000009965,0.001284639
sophia_hdt,20000,0.002495035,3180,0.000009878,0.001286344
sophia_hdt,40000,0.005418417,3888,0.000008182,0.002337808
sophia_hdt,40000,0.003945242,3944,0.000008918,0.002102983
sophia_hdt,40000,0.004586684,3920,0.000011895,0.002413047
sophia_hdt,40000,0.004127636,3972,0.000008493,0.002059914
sophia_hdt,80000,0.009429741,5512,0.00001045,0.00460089
sophia_hdt,80000,0.007844925,5432,0.000009045,0.004078206
sophia_hdt,80000,0.009088395,5456,0.000011708,0.004413183
sophia_hdt,80000,0.008079531,5596,0.000008882,0.004116977
sophia_hdt,100000,0.010638605,6084,0.000013762,0.005346073
sophia_hdt,100000,0.011353476,5992,0.000011436,0.005580115
sophia_hdt,100000,0.010407935,6100,0.000011318,0.005193778
sophia_hdt,100000,0.010180495,6088,0.000011973,0.00533547
sophia_hdt,1000000,0.0875735,32940,0.000013055,0.045008819
sophia_hdt,1000000,0.09109387,32868,0.000013676,0.045264444
sophia_hdt,1000000,0.089015117,32884,0.000011404,0.044956611
sophia_hdt,1000000,0.092899992,32864,0.000012982,0.045450103
sophia_hdt,10310000,0.895539393,270064,0.000014965,0.475961429
sophia_hdt,10310000,0.920950338,271164,0.000015306,0.476256318
sophia_hdt,10310000,0.895621292,268848,0.000016126,0.476379986
sophia_hdt,10310000,0.919399187,270104,0.000016345,0.47541675
