tool,size,t_load,m_graph,t_first,t_rest
sophia_lg,10000,0.011577956,2068,0.000000892,0.000064859
sophia_lg,10000,0.011060769,2260,0.000000808,0.000063005
sophia_lg,10000,0.014082677,2064,0.000000706,0.000066317
sophia_lg,10000,0.010929122,2068,0.000000558,0.000064181
sophia_lg,20000,0.022816254,3720,0.000000565,0.000145423
sophia_lg,20000,0.021615082,3720,0.000000666,0.00012661
sophia_lg,20000,0.021791236,3448,0.000000687,0.000131014
sophia_lg,20000,0.021759751,3616,0.000000656,0.000133905
sophia_lg,40000,0.043936908,6152,0.000000777,0.000262315
sophia_lg,40000,0.044412906,6224,0.000001027,0.000328987
sophia_lg,40000,0.04374765,6064,0.000000841,0.000251835
sophia_lg,40000,0.044253925,6232,0.000000935,0.00032176
sophia_lg,80000,0.093735189,11332,0.000001142,0.000675944
sophia_lg,80000,0.094541398,11180,0.000001562,0.000674046
sophia_lg,80000,0.09156765,11176,0.000000918,0.000591653
sophia_lg,80000,0.088534768,11356,0.000001087,0.000501604
sophia_lg,100000,0.112891913,16216,0.000000886,0.000588628
sophia_lg,100000,0.112217995,16192,0.000000846,0.000595668
sophia_lg,100000,0.113295377,16288,0.000001193,0.000568677
sophia_lg,100000,0.113167638,16504,0.000000962,0.000574383
sophia_lg,1000000,1.1359577459999999,101152,0.000001369,0.008383927
sophia_lg,1000000,1.165397778,100612,0.000001332,0.008594518
sophia_lg,1000000,1.1725353219999999,102064,0.000001637,0.009051721
sophia_lg,1000000,1.132630251,101056,0.000001326,0.008320029
sophia_lg,10310000,12.529419505,852136,0.00000181,0.092647815
sophia_lg,10310000,12.525025612,853800,0.000001761,0.086014775
sophia_lg,10310000,12.1325708,852020,0.000001725,0.092594642
sophia_lg,10310000,11.694001343,852456,0.000001721,0.084835051
