tool,size,t_load,m_graph,t_first,t_rest
hdt_java,10000,0.098822634,31628,0.003780771,8.188E-5
hdt_java,10000,0.095692619,29612,0.004021412,8.0333E-5
hdt_java,10000,0.10099171,30768,0.003776695,8.052E-5
hdt_java,10000,0.097838783,31984,0.003729107,7.9333E-5
hdt_java,20000,0.099713567,31624,0.003815456,8.0733E-5
hdt_java,20000,0.098768061,29836,0.00372177,7.9901E-5
hdt_java,20000,0.099156308,31308,0.003801988,1.34017E-4
hdt_java,20000,0.103892009,31124,0.003983174,8.1724E-5
hdt_java,40000,0.100441104,32704,0.003795491,8.7599E-5
hdt_java,40000,0.0996785,30400,0.004799437,8.3401E-5
hdt_java,40000,0.105421733,33168,0.003917456,9.8309E-5
hdt_java,40000,0.104039083,34736,0.004059954,8.2991E-5
hdt_java,80000,0.109450617,33116,0.004204051,9.037E-5
hdt_java,80000,0.109089896,34728,0.00392773,8.5785E-5
hdt_java,80000,0.105832595,31956,0.003640016,8.2382E-5
hdt_java,80000,0.125859462,33888,0.004616872,9.7542E-5
hdt_java,100000,0.118375283,35164,0.004341782,8.5569E-5
hdt_java,100000,0.11371428,32516,0.003992028,8.682E-5
hdt_java,100000,0.107722422,35136,0.003947694,8.6196E-5
hdt_java,100000,0.107862803,38232,0.004194898,8.4208E-5
hdt_java,1000000,0.166192863,73424,0.004374741,8.5264E-5
hdt_java,1000000,0.178515656,75176,0.005174005,8.5367E-5
hdt_java,1000000,0.164982106,72364,0.004294073,8.7024E-5
hdt_java,1000000,0.164519177,74856,0.004353754,9.9703E-5
hdt_java,10310000,0.764167733,384220,0.00810088,1.79125E-4
hdt_java,10310000,0.52189244,389944,0.004530781,1.09405E-4
hdt_java,10310000,0.525995823,391140,0.005047317,8.9141E-5
hdt_java,10310000,0.535230928,386080,0.00537879,1.3079E-4
