tool,size,t_load,m_graph,t_first,t_rest
jena,10000,0.276448202,146380,0.002005407,1.2582E-5
jena,10000,0.224343012,142864,0.001965462,1.1732E-5
jena,10000,0.247453026,143172,0.001907906,1.2339E-5
jena,10000,0.233973911,145896,0.002061794,1.2113E-5
jena,20000,0.309219366,240624,0.002194727,1.3366E-5
jena,20000,0.337903052,239108,0.0021866,1.2791E-5
jena,20000,0.457651236,249672,0.003478234,2.4644E-5
jena,20000,0.310740326,202276,0.002124183,1.3304E-5
jena,40000,0.423577987,380940,0.002167404,1.3102E-5
jena,40000,0.455524675,315972,0.002064552,1.2785E-5
jena,40000,0.684526151,283164,0.003037877,2.2232E-5
jena,40000,0.425640989,311312,0.002131501,1.2489E-5
jena,80000,0.696478569,435264,0.00243374,3.7316E-5
jena,80000,0.600350924,427880,0.001941756,1.133E-5
jena,80000,0.983404508,338704,0.00302428,2.3065E-5
jena,80000,0.744506425,405936,0.001938841,1.1776E-5
jena,100000,0.756355468,433832,0.002423076,1.4878E-5
jena,100000,0.65753646,382260,0.002449582,1.162E-5
jena,100000,1.135699934,369452,0.004292937,2.2918E-5
jena,100000,0.72262664,417740,0.002494428,1.2742E-5
jena,1000000,3.867665685,1383152,0.001967771,1.1843E-5
jena,1000000,3.877109512,1269192,0.001966221,1.2405E-5
jena,1000000,3.83686964,1240280,0.001953948,1.1694E-5
jena,1000000,3.863450655,1284868,0.00203046,1.1637E-5
jena,10310000,37.80637851,5537540,0.00197617,1.2194E-5
jena,10310000,42.664818622,5555060,0.002221485,1.2349E-5
jena,10310000,38.36549088,5648808,0.002296123,1.2851E-5
jena,10310000,38.835936573,5809432,0.003172937,2.2982E-5
