tool,size,t_load,m_graph,t_first,t_rest
librdf,10000,0.370978,4344,0.000004,0.000396
librdf,10000,0.374630,4300,0.000004,0.000387
librdf,10000,0.371612,4304,0.000004,0.000393
librdf,10000,0.363902,4260,0.000004,0.000401
librdf,20000,1.613162,8404,0.000004,0.000798
librdf,20000,1.677183,8300,0.000004,0.000759
librdf,20000,1.600638,8220,0.000004,0.000823
librdf,20000,1.510335,8220,0.000004,0.000832
librdf,40000,6.988304,15688,0.000004,0.001698
librdf,40000,6.654989,16128,0.000004,0.001583
librdf,40000,6.607079,15668,0.000004,0.001511
librdf,40000,6.353276,15740,0.000005,0.001640
librdf,80000,29.573369,31000,0.000004,0.003310
librdf,80000,27.247088,31064,0.000004,0.003261
librdf,80000,27.668774,30972,0.000005,0.003346
librdf,80000,27.427422,30984,0.000004,0.003322
librdf,100000,54.907233,38496,0.000004,0.004390
librdf,100000,53.660671,38540,0.000008,0.004759
librdf,100000,47.515431,38368,0.000004,0.004278
librdf,100000,49.213152,38440,0.000004,0.004297
