tool,size,t_load,m_graph,t_first,t_rest
n3js,10000,0.0756290729995817,63256,0.00022067399881780148,0.000009146999567747116
n3js,10000,0.07447694399952888,62676,0.00022226000018417836,0.000010565999895334245
n3js,10000,0.07532930499874055,63112,0.00021743599884212016,0.000008971000090241433
n3js,10000,0.07280687600001692,62448,0.0002134380005300045,0.000009204000234603881
n3js,20000,0.11378645799867809,79712,0.00021863400004804134,0.000008853999897837639
n3js,20000,0.11093550000153482,82032,0.00021877199970185757,0.000009005999192595482
n3js,20000,0.11482284400053322,79296,0.00022289899922907353,0.000009525999426841736
n3js,20000,0.12543008599989117,81988,0.00021662000007927418,0.00000889500044286251
n3js,40000,0.179816061001271,109580,0.00022140800021588802,0.000009408999234437942
n3js,40000,0.18366879099979996,111184,0.00022008800134062768,0.00000936499983072281
n3js,40000,0.1894967890009284,109696,0.0002307360004633665,0.000009707000106573105
n3js,40000,0.1756256239991635,111108,0.00023144299909472465,0.000009428000077605247
n3js,80000,0.37162322700023653,170156,0.00022519499994814397,0.00000981699861586094
n3js,80000,0.38411652499996124,173488,0.00022387300059199334,0.000009517999365925789
n3js,80000,0.3896899750009179,175180,0.00023322900012135505,0.000010067999362945557
n3js,80000,0.36293720300123095,177120,0.0002285310011357069,0.000010409999638795853
n3js,100000,0.4695217589996755,187708,0.0002248700000345707,0.00008717400021851062
n3js,100000,0.44809260200150314,185860,0.00022094499878585338,0.0000889040008187294
n3js,100000,0.44874434600025415,191812,0.00023155700042843817,0.0000867139995098114
n3js,100000,0.4351325300000608,192056,0.0002215410005301237,0.00008815399929881096
n3js,1000000,4.460686675999313,1301268,0.00023457199893891812,0.000010717000812292098
n3js,1000000,4.532395874999463,1299592,0.00021888300031423568,0.000009961999952793121
n3js,1000000,4.560525699000806,1305036,0.00022721999883651734,0.000010042998939752578
n3js,1000000,4.409407793000341,1301084,0.00022495299950242041,0.000009777000173926354
n3js,10310000,80.48144626599922,12702476,0.00021650699898600578,0.00008993900008499623
n3js,10310000,81.76116599099898,12696648,0.00021817700006067752,0.0001171180009841919
n3js,10310000,109.12156995300018,12698164,0.0003639579992741346,0.000126698000356555
n3js,10310000,112.5490997390002,12697536,0.00035125899873673916,0.0001247060000896454
