tool,size,t_load,m_graph,t_first,t_rest
python,10000,0.14393630999984453,15840,9.010997018776834e-06,1.0046001989394426e-05
python,10000,0.1449623820008128,15840,9.764000424183905e-06,9.578001481713727e-06
python,10000,0.1451635100020212,15840,9.59499811870046e-06,1.003099896479398e-05
python,10000,0.14375923500119825,15840,9.79200194706209e-06,9.723000403027982e-06
python,20000,0.280631452002126,33180,1.0310999641660601e-05,9.612002031644806e-06
python,20000,0.28085092199762585,33180,8.817998605081812e-06,9.786002920009196e-06
python,20000,0.28230116000122507,33180,8.47100091050379e-06,9.333998605143279e-06
python,20000,0.27884117500070715,33180,9.993000276153907e-06,9.522998880129308e-06
python,40000,0.5807350040013262,61308,9.116000001085922e-06,1.0354000551160425e-05
python,40000,0.5857676449995779,61308,8.623999747214839e-06,1.0548999853199348e-05
python,40000,0.5824003439993248,61308,8.843999239616096e-06,9.91200067801401e-06
python,40000,0.5863014750029834,61308,8.621998858870938e-06,1.038200207403861e-05
python,80000,1.237523654999677,121012,9.444996976526454e-06,9.628998668631539e-06
python,80000,1.2312778080013231,121024,9.521998435957357e-06,9.835999662755057e-06
python,80000,1.235438804000296,121016,1.0716998076532036e-05,1.005200101644732e-05
python,80000,1.2434587989991996,121024,1.0184001439483836e-05,9.801999112823978e-06
python,100000,1.5593255949970626,150292,9.682000381872058e-06,1.0498002666281536e-05
python,100000,1.5736645849974593,150296,1.0282998118782416e-05,1.0965999535983428e-05
python,100000,1.5371034029994917,150296,1.0219999239780009e-05,9.63800266617909e-06
python,100000,1.573253807000583,150292,9.714000043459237e-06,9.817998943617567e-06
python,1000000,16.623970077002014,1427468,1.0036001185653731e-05,1.0496001777937636e-05
python,1000000,16.270378961999086,1427488,1.0077001206809655e-05,9.789997420739383e-06
python,1000000,16.576021867000236,1427472,9.129998943535611e-06,9.91300112218596e-06
python,1000000,16.769487776997266,1427468,1.0330997611163184e-05,1.0828000085894018e-05
python,10310000,171.37510142300016,14828496,9.91100023384206e-06,1.0733998351497576e-05
python,10310000,171.58265146999838,14828548,9.359999239677563e-06,9.690000297268853e-06
python,10310000,172.5493850210005,14828472,1.0191997716901824e-05,1.0282001312589273e-05
python,10310000,172.7440570550025,14828524,1.0978998034261167e-05,1.091800004360266e-05
