tool,size,t_load,m_graph,t_first,t_rest
sophia,10000,0.01973333,3884,0.000002188,0.000000347
sophia,10000,0.019899982,3772,0.000002178,0.000000368
sophia,10000,0.017439909,3680,0.000002577,0.000000382
sophia,10000,0.017265326,3788,0.000001978,0.000000327
sophia,20000,0.03417614,5620,0.000002174,0.000000291
sophia,20000,0.036812904,5624,0.000002131,0.000000306
sophia,20000,0.03678747,5644,0.000001876,0.000000288
sophia,20000,0.030479803,5664,0.000002002,0.0000003
sophia,40000,0.061330615,9432,0.000001802,0.000000284
sophia,40000,0.061377199,9356,0.000001948,0.000000291
sophia,40000,0.06734091,9340,0.000002218,0.000000283
sophia,40000,0.059667547,9376,0.000002057,0.000000286
sophia,80000,0.127488796,16760,0.000001859,0.000000274
sophia,80000,0.128602925,16780,0.000001631,0.00000028
sophia,80000,0.128440195,16652,0.000001865,0.000000434
sophia,80000,0.128102517,16560,0.00000182,0.000000277
sophia,100000,0.162601772,22384,0.000001989,0.000000309
sophia,100000,0.163520062,22368,0.000001917,0.00000028
sophia,100000,0.155773696,22456,0.000002117,0.0000003
sophia,100000,0.162930349,22560,0.000001858,0.00000028
sophia,1000000,1.604883124,154068,0.000001988,0.000000309
sophia,1000000,1.6073387540000001,153820,0.00000192,0.00000032
sophia,1000000,1.648131166,154868,0.000002327,0.000000313
sophia,1000000,1.644656163,155056,0.000001836,0.000000303
sophia,10310000,18.865967674,1404200,0.000002025,0.000000324
sophia,10310000,18.855628259,1402752,0.000002016,0.000000297
sophia,10310000,19.219676414,1403436,0.000002058,0.000000287
sophia,10310000,18.918547659,1403540,0.000002071,0.00000031
