tool,size,t_load,m_graph,t_first,t_rest
sophia_lg,10000,0.018037601,3724,0.000006424,0.000096313
sophia_lg,10000,0.01817337,3844,0.000032398,0.00009801
sophia_lg,10000,0.016021108,3856,0.000013545,0.000088941
sophia_lg,10000,0.016044387,3792,0.000017959,0.000086681
sophia_lg,20000,0.031393496,5436,0.00002038,0.000203253
sophia_lg,20000,0.031574596,5312,0.000014545,0.000212595
sophia_lg,20000,0.033626851,5324,0.000104553,0.000139364
sophia_lg,20000,0.028140185,5412,0.000062139,0.000167033
sophia_lg,40000,0.056670986,8776,0.000080761,0.000472684
sophia_lg,40000,0.060907592,8792,0.000186478,0.000347794
sophia_lg,40000,0.054914428,8772,0.000191408,0.000344038
sophia_lg,40000,0.054178656,8916,0.000010149,0.000588926
sophia_lg,80000,0.116716547,15316,0.000484868,0.000620398
sophia_lg,80000,0.115769493,15204,0.000010337,0.001073528
sophia_lg,80000,0.114595518,15188,0.000351975,0.000758202
sophia_lg,80000,0.108722268,15312,0.000438221,0.000719365
sophia_lg,100000,0.148813847,23096,0.000070854,0.001378428
sophia_lg,100000,0.148559073,23104,0.000437514,0.000964953
sophia_lg,100000,0.142092133,23228,0.000507879,0.000932047
sophia_lg,100000,0.14723753,23292,0.00018494,0.001243373
sophia_lg,1000000,1.367197817,127724,0.002781577,0.01752466
sophia_lg,1000000,1.36694784,126356,0.000719429,0.019923087
sophia_lg,1000000,1.392573233,125724,0.00325044,0.020651197
sophia_lg,1000000,1.390803701,125988,0.002425646,0.018609673
sophia_lg,10310000,15.308648763,994392,0.020701371,0.316921021
sophia_lg,10310000,15.411039504,996100,0.027357106,0.306503187
sophia_lg,10310000,15.045199927,995720,0.029232062,0.29563548
sophia_lg,10310000,15.084235462,995156,0.091086269,0.263921038
